aper_radius F098M F105W F110W F125W F126N F127M F128N F130N F132N F139M F140W F153M F160W F164N F167N
0.13 0.596 0.577 0.553 0.535 0.534 0.531 0.529 0.526 0.523 0.513 0.512 0.496 0.494 0.483 0.48
0.15 0.656 0.634 0.606 0.586 0.584 0.58 0.579 0.575 0.572 0.561 0.562 0.546 0.545 0.536 0.534
0.26 0.818 0.811 0.797 0.789 0.789 0.787 0.786 0.784 0.78 0.769 0.764 0.74 0.736 0.713 0.706
0.39 0.857 0.852 0.845 0.841 0.84 0.84 0.839 0.838 0.838 0.836 0.837 0.835 0.833 0.829 0.828
0.45 0.872 0.867 0.859 0.853 0.852 0.851 0.851 0.85 0.849 0.846 0.848 0.846 0.844 0.842 0.841
0.52 0.887 0.882 0.873 0.867 0.867 0.865 0.865 0.863 0.862 0.858 0.86 0.856 0.855 0.852 0.851
0.65 0.905 0.901 0.895 0.89 0.89 0.89 0.889 0.888 0.887 0.882 0.882 0.876 0.875 0.87 0.869
0.78 0.922 0.917 0.909 0.904 0.904 0.903 0.902 0.901 0.9 0.898 0.9 0.899 0.897 0.894 0.893
0.91 0.934 0.929 0.922 0.918 0.917 0.916 0.916 0.915 0.914 0.912 0.912 0.909 0.908 0.905 0.904
1.0 0.943 0.939 0.933 0.929 0.929 0.929 0.928 0.927 0.926 0.923 0.923 0.918 0.918 0.914 0.913
1.2 0.949 0.946 0.941 0.937 0.937 0.936 0.936 0.935 0.934 0.931 0.931 0.927 0.926 0.923 0.922
1.3 0.956 0.953 0.948 0.945 0.944 0.944 0.943 0.942 0.942 0.939 0.94 0.937 0.935 0.932 0.931
2.0 0.974 0.973 0.97 0.969 0.969 0.968 0.968 0.968 0.967 0.966 0.967 0.967 0.966 0.963 0.962
2.6 0.979 0.978 0.976 0.975 0.975 0.974 0.974 0.974 0.973 0.972 0.974 0.974 0.972 0.97 0.97
3.2 0.983 0.982 0.98 0.979 0.98 0.979 0.979 0.979 0.978 0.978 0.979 0.979 0.978 0.976 0.975
3.9 0.987 0.986 0.985 0.984 0.984 0.984 0.984 0.984 0.984 0.983 0.984 0.984 0.983 0.982 0.981
4.5 0.991 0.99 0.99 0.989 0.989 0.989 0.989 0.989 0.989 0.988 0.989 0.989 0.988 0.987 0.987
5.2 0.995 0.995 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.993 0.994 0.994 0.994 0.993 0.993
6.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
