#JWST NIRCam Encircled Energy - Long Wavelength Channel 
#Aperture Radius (arcsec)
#
aper_radius F250M F277W F300M F322W2 F323N F335M F356W F360M F405N F410M F430M F444W F460M F466N F470N F480M
0.025 0.1483 0.1299 0.1115 0.1116 0.0968 0.0921 0.0859 0.0816 0.0661 0.0652 0.0595 0.0586 0.0528 0.0511 0.0501 0.0485
0.050 0.4355 0.3982 0.3579 0.3539 0.3209 0.3084 0.2912 0.2796 0.2340 0.2312 0.2136 0.2101 0.1920 0.1865 0.1829 0.1776
0.075 0.6004 0.5836 0.5593 0.5473 0.5264 0.5141 0.4952 0.4838 0.4272 0.4231 0.3985 0.3919 0.3659 0.3573 0.3516 0.3429
0.100 0.6349 0.6408 0.6419 0.6318 0.6320 0.6278 0.6186 0.6148 0.5775 0.5739 0.5531 0.5448 0.5216 0.5130 0.5069 0.4971
0.200 0.8130 0.8054 0.7921 0.7793 0.7668 0.7561 0.7413 0.7311 0.6976 0.6966 0.6887 0.6894 0.6832 0.6820 0.6810 0.6793
0.300 0.8426 0.8394 0.8386 0.8379 0.8379 0.8370 0.8361 0.8355 0.8307 0.8294 0.8226 0.8157 0.8061 0.8012 0.7973 0.7906
0.400 0.8779 0.8746 0.8695 0.8655 0.8576 0.8539 0.8521 0.8491 0.8493 0.8490 0.8480 0.8469 0.8454 0.8448 0.8442 0.8430
0.500 0.8925 0.8909 0.8894 0.8869 0.8852 0.8844 0.8816 0.8812 0.8645 0.8636 0.8572 0.8593 0.8547 0.8546 0.8547 0.8549
0.600 0.9069 0.9030 0.8995 0.8998 0.8970 0.8971 0.8954 0.8953 0.8893 0.8890 0.8867 0.8830 0.8788 0.8762 0.8743 0.8716
0.700 0.9185 0.9146 0.9104 0.9102 0.9069 0.9059 0.9041 0.9027 0.9009 0.9002 0.8976 0.8967 0.8937 0.8928 0.8924 0.8918
0.800 0.9304 0.9254 0.9202 0.9203 0.9174 0.9153 0.9132 0.9113 0.9060 0.9058 0.9041 0.9043 0.9034 0.9032 0.9028 0.9016
0.900 0.9367 0.9336 0.9299 0.9285 0.9248 0.9233 0.9214 0.9204 0.9134 0.9133 0.9116 0.9106 0.9079 0.9069 0.9064 0.9062
1.000 0.9427 0.9395 0.9363 0.9351 0.9336 0.9315 0.9289 0.9268 0.9219 0.9211 0.9178 0.9177 0.9147 0.9142 0.9139 0.9130
1.200 0.9518 0.9487 0.9455 0.9450 0.9424 0.9412 0.9398 0.9388 0.9331 0.9326 0.9293 0.9294 0.9265 0.9259 0.9256 0.9249
1.400 0.9580 0.9554 0.9528 0.9520 0.9501 0.9488 0.9471 0.9461 0.9413 0.9410 0.9395 0.9385 0.9368 0.9358 0.9350 0.9338
1.600 0.9639 0.9609 0.9581 0.9576 0.9555 0.9547 0.9531 0.9522 0.9477 0.9473 0.9453 0.9449 0.9427 0.9421 0.9418 0.9413
1.800 0.9680 0.9654 0.9626 0.9622 0.9602 0.9592 0.9578 0.9568 0.9528 0.9525 0.9506 0.9501 0.9482 0.9477 0.9472 0.9464
2.000 0.9715 0.9691 0.9667 0.9661 0.9647 0.9632 0.9618 0.9608 0.9568 0.9568 0.9553 0.9546 0.9528 0.9522 0.9517 0.9511
2.500 0.9780 0.9760 0.9739 0.9734 0.9720 0.9711 0.9698 0.9689 0.9657 0.9651 0.9629 0.9630 0.9612 0.9608 0.9603 0.9598
3.000 0.9818 0.9804 0.9789 0.9783 0.9773 0.9764 0.9753 0.9746 0.9714 0.9712 0.9697 0.9694 0.9679 0.9676 0.9673 0.9668
3.500 0.9843 0.9833 0.9820 0.9816 0.9808 0.9803 0.9793 0.9788 0.9759 0.9756 0.9744 0.9741 0.9728 0.9722 0.9720 0.9715
