aper_radius F070W F090W F115W F140M F150W2 F150W F162M F164N F182M F187N F200W F210M F212N F250M F277W F300M F322W2 F323N F335M F356W F360M F405N F410M F430M F444W F460M F466N F470N F480M
0.010 0.221 0.175 0.137 0.099 0.090 0.094 0.077 0.075 0.062 0.060 0.055 0.049 0.047 0.057 0.049 0.041 0.041 0.033 0.032 0.030 0.028 0.022 0.022 0.020 0.020 0.018 0.017 0.017 0.016
0.020 0.423 0.414 0.376 0.300 0.277 0.279 0.246 0.241 0.204 0.198 0.184 0.165 0.161 0.130 0.112 0.094 0.094 0.078 0.075 0.069 0.066 0.053 0.053 0.048 0.047 0.042 0.041 0.040 0.039
0.030 0.493 0.537 0.559 0.496 0.469 0.456 0.431 0.425 0.371 0.362 0.339 0.309 0.302 0.225 0.196 0.166 0.164 0.138 0.134 0.123 0.117 0.095 0.094 0.086 0.085 0.075 0.074 0.073 0.070
0.040 0.553 0.565 0.616 0.606 0.591 0.562 0.566 0.562 0.514 0.505 0.480 0.449 0.441 0.372 0.332 0.289 0.285 0.247 0.241 0.224 0.214 0.178 0.177 0.163 0.160 0.143 0.141 0.139 0.133
0.050 0.614 0.613 0.629 0.640 0.639 0.616 0.634 0.633 0.607 0.602 0.582 0.558 0.552 0.506 0.459 0.409 0.401 0.354 0.347 0.324 0.311 0.262 0.261 0.242 0.237 0.213 0.211 0.207 0.200
0.060 0.658 0.674 0.664 0.649 0.652 0.653 0.656 0.657 0.655 0.655 0.645 0.634 0.631 0.583 0.540 0.493 0.481 0.434 0.428 0.403 0.389 0.333 0.332 0.309 0.304 0.275 0.273 0.268 0.259
0.070 0.686 0.709 0.710 0.668 0.664 0.678 0.660 0.660 0.666 0.667 0.665 0.664 0.663 0.634 0.601 0.562 0.548 0.506 0.503 0.478 0.464 0.407 0.404 0.380 0.374 0.343 0.340 0.334 0.323
0.080 0.702 0.732 0.747 0.711 0.697 0.704 0.679 0.677 0.670 0.669 0.670 0.670 0.670 0.669 0.648 0.622 0.605 0.571 0.571 0.547 0.535 0.479 0.476 0.451 0.444 0.411 0.408 0.402 0.390
0.090 0.717 0.746 0.766 0.752 0.736 0.727 0.713 0.709 0.685 0.681 0.678 0.673 0.672 0.677 0.667 0.651 0.636 0.610 0.615 0.595 0.586 0.536 0.534 0.510 0.502 0.471 0.468 0.461 0.449
0.100 0.735 0.755 0.776 0.780 0.771 0.750 0.755 0.752 0.717 0.711 0.701 0.686 0.683 0.682 0.677 0.670 0.658 0.639 0.647 0.633 0.626 0.587 0.585 0.565 0.557 0.528 0.525 0.519 0.507
0.200 0.831 0.835 0.844 0.847 0.843 0.839 0.836 0.835 0.831 0.831 0.832 0.833 0.834 0.832 0.823 0.810 0.794 0.777 0.772 0.754 0.744 0.710 0.710 0.702 0.703 0.697 0.696 0.696 0.695
