#JWST NIRCam Encircled Energy - Short Wavelength Channel
#Aperture Radius (arcsec) 
#
aper_radius F070W F090W F115W F140M F150W2 F150W F162M F164N F182M F187N F200W F210M F212N
0.025 0.1864 0.2570 0.3168 0.3008 0.2889 0.2868 0.2664 0.2621 0.2340 0.2246 0.2111 0.1922 0.1881
0.050 0.3910 0.4253 0.4780 0.5250 0.5104 0.5314 0.5393 0.5398 0.5304 0.5249 0.5108 0.4926 0.4878
0.075 0.5257 0.5829 0.6155 0.5974 0.6030 0.5938 0.5899 0.5900 0.5955 0.5977 0.5988 0.6008 0.6007
0.100 0.5942 0.6516 0.6954 0.7102 0.6919 0.7020 0.6890 0.6853 0.6601 0.6520 0.6439 0.6316 0.6293
0.200 0.7613 0.7710 0.7918 0.8092 0.8021 0.8087 0.8072 0.8063 0.8073 0.8090 0.8108 0.8134 0.8136
0.300 0.8627 0.8586 0.8486 0.8504 0.8512 0.8515 0.8534 0.8540 0.8568 0.8569 0.8571 0.8575 0.8577
0.400 0.9057 0.9008 0.8966 0.8871 0.8887 0.8848 0.8822 0.8821 0.8803 0.8804 0.8796 0.8788 0.8785
0.500 0.9291 0.9240 0.9193 0.9144 0.9132 0.9126 0.9098 0.9090 0.9021 0.9003 0.8996 0.8978 0.8973
0.600 0.9435 0.9390 0.9340 0.9293 0.9290 0.9277 0.9252 0.9246 0.9218 0.9210 0.9180 0.9142 0.9132
0.700 0.9532 0.9492 0.9445 0.9398 0.9396 0.9383 0.9360 0.9356 0.9326 0.9314 0.9300 0.9279 0.9275
0.800 0.9602 0.9567 0.9525 0.9474 0.9476 0.9461 0.9441 0.9436 0.9409 0.9399 0.9384 0.9363 0.9358
0.900 0.9652 0.9624 0.9584 0.9543 0.9538 0.9525 0.9502 0.9500 0.9473 0.9465 0.9450 0.9431 0.9427
1.000 0.9689 0.9668 0.9633 0.9593 0.9589 0.9578 0.9557 0.9552 0.9524 0.9517 0.9503 0.9486 0.9484
1.200 0.9742 0.9728 0.9704 0.9668 0.9666 0.9656 0.9638 0.9635 0.9610 0.9603 0.9587 0.9566 0.9562
1.400 0.9780 0.9767 0.9750 0.9724 0.9719 0.9712 0.9695 0.9693 0.9670 0.9662 0.9651 0.9635 0.9630
1.600 0.9810 0.9795 0.9782 0.9762 0.9757 0.9753 0.9740 0.9737 0.9716 0.9710 0.9699 0.9684 0.9680
1.800 0.9835 0.9817 0.9804 0.9790 0.9786 0.9783 0.9772 0.9770 0.9754 0.9749 0.9737 0.9723 0.9721
2.000 0.9855 0.9837 0.9822 0.9810 0.9807 0.9804 0.9796 0.9793 0.9781 0.9775 0.9767 0.9756 0.9755
2.500 0.9890 0.9875 0.9856 0.9842 0.9843 0.9839 0.9834 0.9832 0.9825 0.9822 0.9816 0.9808 0.9807
3.000 0.9913 0.9900 0.9884 0.9866 0.9868 0.9862 0.9856 0.9855 0.9849 0.9847 0.9843 0.9839 0.9838
3.500 0.9929 0.9916 0.9903 0.9887 0.9887 0.9882 0.9874 0.9873 0.9866 0.9864 0.9861 0.9857 0.9855
