aper_radius F070W F090W F115W F140M F150W2 F150W F162M F164N F182M F187N F200W F210M F212N
0.010 0.221 0.175 0.137 0.099 0.090 0.094 0.077 0.075 0.062 0.060 0.055 0.049 0.047
0.020 0.423 0.414 0.376 0.300 0.277 0.279 0.246 0.241 0.204 0.198 0.184 0.165 0.161
0.030 0.493 0.537 0.559 0.496 0.469 0.456 0.431 0.425 0.371 0.362 0.339 0.309 0.302
0.040 0.553 0.565 0.616 0.606 0.591 0.562 0.566 0.562 0.514 0.505 0.480 0.449 0.441
0.050 0.614 0.613 0.629 0.640 0.639 0.616 0.634 0.633 0.607 0.602 0.582 0.558 0.552
0.060 0.658 0.674 0.664 0.649 0.652 0.653 0.656 0.657 0.655 0.655 0.645 0.634 0.631
0.070 0.686 0.709 0.710 0.668 0.664 0.678 0.660 0.660 0.666 0.667 0.665 0.664 0.663
0.080 0.702 0.732 0.747 0.711 0.697 0.704 0.679 0.677 0.670 0.669 0.670 0.670 0.670
0.090 0.717 0.746 0.766 0.752 0.736 0.727 0.713 0.709 0.685 0.681 0.678 0.673 0.672
0.100 0.735 0.755 0.776 0.780 0.771 0.750 0.755 0.752 0.717 0.711 0.701 0.686 0.683
0.200 0.831 0.835 0.844 0.847 0.843 0.839 0.836 0.835 0.831 0.831 0.832 0.833 0.834
0.300 0.895 0.889 0.882 0.878 0.878 0.878 0.877 0.877 0.877 0.876 0.875 0.873 0.873
0.400 0.923 0.918 0.913 0.904 0.903 0.903 0.901 0.901 0.896 0.895 0.894 0.892 0.891
0.500 0.942 0.936 0.930 0.925 0.923 0.921 0.920 0.920 0.913 0.912 0.911 0.909 0.908
0.600 0.954 0.948 0.943 0.937 0.935 0.934 0.932 0.932 0.929 0.928 0.925 0.922 0.921
0.700 0.963 0.958 0.952 0.947 0.945 0.944 0.942 0.941 0.938 0.937 0.935 0.933 0.933
0.800 0.970 0.964 0.959 0.953 0.952 0.951 0.950 0.949 0.945 0.945 0.943 0.941 0.940
0.900 0.975 0.970 0.964 0.960 0.957 0.957 0.955 0.955 0.951 0.951 0.949 0.947 0.946
1.000 0.978 0.974 0.969 0.964 0.962 0.962 0.960 0.960 0.956 0.955 0.954 0.952 0.952
1.200 0.983 0.980 0.976 0.971 0.970 0.969 0.967 0.967 0.964 0.964 0.962 0.960 0.959
1.400 0.986 0.984 0.980 0.976 0.975 0.974 0.973 0.972 0.970 0.969 0.968 0.966 0.966
1.600 0.989 0.986 0.983 0.980 0.979 0.978 0.977 0.977 0.974 0.974 0.972 0.971 0.970
1.800 0.990 0.988 0.985 0.983 0.982 0.981 0.980 0.980 0.978 0.977 0.976 0.974 0.974
2.000 0.992 0.989 0.987 0.984 0.984 0.983 0.982 0.982 0.980 0.980 0.979 0.978 0.977
2.500 0.993 0.992 0.989 0.987 0.987 0.987 0.986 0.986 0.985 0.984 0.984 0.983 0.982
3.000 0.995 0.993 0.991 0.989 0.989 0.989 0.988 0.988 0.987 0.987 0.986 0.986 0.986
3.500 0.996 0.994 0.993 0.991 0.990 0.990 0.989 0.989 0.988 0.988 0.988 0.987 0.987
